Representation in the .janno file,anno2janno transformation,Simplified .anno column name,AADR .anno file column name
Poseidon_ID,"Replaced > and < with GT and LT, because > and < are reserved characters in the trident forge selection language",Genetic_ID ,Genetic ID 
Alternative_IDs,No change,Master_ID,Master ID 
Collection_ID,No change,Skeletal_Code,Skeletal code 
Source_Tissue,No change,Skeletal_Element ,Skeletal element 
Non-native column: AADR_Year_First_Publication,No change,Year_First_Publication,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)] "
Publication + Non-native column: AADR_Publication,For the Publication column the information was reduced to simple keys in a list column. These keys are linked to the attached .bib file. The AADR_Publication column keeps the original structure,Publication,Publication 
Date_Note,No change,Date_Method,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020) "
Non-native column: AADR_Date_Mean_BP,No change,Date_Mean_BP,"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date] "
Non-native column: AADR_Date_SD,No change,Date_SD,"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date] "
Date_C14_Labnr + Date_C14_Uncal_BP + Date_C14_Uncal_BP_Err + Date_BC_AD_Start + Date_BC_AD_Stop + Date_Type + Non-native column: AADR_Date_Full_Info,Parsed and pulled apart to fit into the 7 different .janno columns. The AADR_Date_Full_Info column keeps the original structure,Date_Full_Info,"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE "
Non-native column: AADR_Age_Death,No change,Age_Death,Age at Death from physical anthropology 
Group_Name,No change,Group_ID,Group ID 
Location,No change,Locality,Locality 
Country,No change,Political_Entity,Political Entity 
Latitude,Rounded to 5 decimal places,Lat,Lat. 
Longitude,Rounded to 5 decimal places,Long,Long. 
Non-native column: AADR_Pulldown_Strategy,No change,Pulldown_Strategy,Pulldown Strategy 
Capture-Type + Non-native column: AADR_Data_Source,"For the Capture_Type column the entities defined in the Poseidon schema were extracted. All other entities, including mixed entries, were set to OtherCapture. The AADR_Data_Source column keeps the original structure",Data_Source,Data source 
Nr_Libraries,No change,No_Libraries,No. Libraries 
Non-native column: AADR_Coverage_1240K,No change,Coverage_1240k,1240k coverage (taken from original pulldown where possible) 
Non-native column: AADR_SNPs_1240K,No change,SNPs_Autosomal_Targets_1240k,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset) 
Non-native column: AADR_SNPs_HO,No change,SNPs_Autosomal_Targets_HO,SNPs hit on autosomal targets (Computed using easystats on HO snpset) 
Genetic_Sex,"Only kept M, F and U",Molecular_Sex,Molecular Sex 
Non-native column: AADR_Kinship,No change (if the data was better structured it could be parsed and added to the kinship janno columns),Family_ID,Family ID and position within family 
Y_Haplogroup,No change,Y_Haplogroup_Terminal_Mutation,Y haplogroup (manual curation in terminal mutation format) 
Non-native column: AADR_Y_Haplogroup_ISOGG,No change,Y_Haplogroup_ISOGG,Y haplogroup (manual curation in ISOGG format) 
Non-native column: AADR_Coverage_mtDNA,No change,Coverage_mtDNA,mtDNA coverage (merged data) 
MT_Haplogroup,No change,mtDNA_Haplogroup,mtDNA haplogroup if >2x or published 
Non-native column: AADR_MT_Match_Consensus,No change,mtDNA_Match_Consensus,mtDNA match to consensus if >2x (merged data) 
Damage,No change,Damage,Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data) 
Non-native column: AADR_Sex_Ratio,No change,Sex_Ratio,Sex ratio [Y/(Y+X) counts] (merged data) 
,,Library_Type,"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation) "
,,Libraries,Libraries 
,,Assessment,ASSESSMENT 
,,Assessment_Warnings,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0. "
